iter	MultiClass
0	1.790304719
1	1.680641242
2	1.595878612
3	1.527994123
4	1.47146173
5	1.421206049
6	1.381898857
7	1.345401769
8	1.313049736
9	1.285225153
10	1.260495641
11	1.236804273
12	1.21715481
13	1.199828347
14	1.18364089
15	1.16884162
16	1.155267839
17	1.142607302
18	1.132201287
19	1.123052093
20	1.113946175
21	1.104209076
22	1.09687844
23	1.091019311
24	1.085173033
25	1.078958843
26	1.070852451
27	1.065555265
28	1.060165378
29	1.055081382
30	1.049561468
31	1.046078218
32	1.042572058
33	1.039618298
34	1.035065648
35	1.03123982
36	1.028370723
37	1.026056731
38	1.022885277
39	1.020583136
40	1.017066765
41	1.013065359
42	1.010647163
43	1.008262446
44	1.006280005
45	1.00425618
46	1.001979171
47	0.9995665867
48	0.996671047
49	0.9936347961
50	0.9913954767
51	0.9893168453
52	0.9867084678
53	0.9847144386
54	0.9826776499
55	0.9806299027
56	0.9789810598
57	0.9767689097
58	0.9754899188
59	0.9728159241
60	0.970037423
61	0.9680130382
62	0.9670234379
63	0.9648306383
64	0.9632641642
65	0.9623023953
66	0.960676163
67	0.9594654074
68	0.9587524636
69	0.9570558142
70	0.9553692333
71	0.9536360285
72	0.9525055679
73	0.9513785017
74	0.9501116491
75	0.94812768
76	0.9472793423
77	0.9460812974
78	0.9446561065
79	0.9414488072
80	0.9401251102
81	0.9379257777
82	0.936372009
83	0.9344147316
84	0.9330496412
85	0.9321118995
86	0.9311375237
87	0.9289136503
88	0.9268872975
89	0.924436689
90	0.9233471766
91	0.9208929489
92	0.9192941716
93	0.9175145778
94	0.9165121933
95	0.9148307087
96	0.9130163105
97	0.9115226516
98	0.9097931426
99	0.9065700506
