iter	Passed	Remaining
0	19	1978
1	24	1203
2	28	929
3	33	804
4	38	740
5	43	685
6	48	647
7	54	621
8	59	598
9	63	575
10	69	561
11	74	545
12	78	528
13	84	520
14	89	506
15	93	493
16	98	481
17	104	473
18	108	463
19	113	453
20	118	446
21	123	436
22	127	427
23	133	421
24	137	413
25	142	405
26	146	397
27	152	391
28	156	383
29	161	377
30	167	373
31	172	366
32	177	360
33	182	355
34	188	349
35	194	346
36	200	341
37	207	338
38	213	333
39	218	327
40	224	322
41	230	318
42	236	313
43	242	308
44	247	302
45	252	296
46	258	291
47	263	285
48	268	279
49	273	273
50	278	267
51	283	261
52	288	255
53	292	249
54	298	243
55	302	237
56	308	232
57	312	226
58	316	220
59	322	214
60	327	209
61	332	203
62	337	198
63	342	192
64	347	187
65	351	181
66	357	176
67	362	170
68	366	164
69	372	159
70	377	154
71	382	148
72	386	143
73	391	137
74	395	131
75	400	126
76	405	121
77	410	115
78	414	110
79	419	104
80	425	99
81	430	94
82	436	89
83	441	84
84	445	78
85	450	73
86	454	67
87	459	62
88	463	57
89	468	52
90	473	46
91	478	41
92	483	36
93	487	31
94	492	25
95	497	20
96	502	15
97	507	10
98	511	5
99	516	0
